Text (300 words)
"रमजान के पूरे तीस रोजों के बाद ईद आयी है कितना मनोहर, कितना सुहावना प्रभाव है वृक्षों पर अजीब हरियाली है, खेतों में कुछ अजीब रौनक है, आसमान पर कुछ अजीब लालिमा है आज का सूर्य देखो, कितना प्यारा, कितना शीतल है, यानी संसार को ईद की बधाई दे रहा है गाँव में कितनी हलचल है ईदगाह जाने की तैयारियाँ हो रही हैं किसी के कुरते में बटन नहीं है, पड़ोस के घर में सुई-धागा लेने दौड़ा जा रहा है किसी के जूते कड़े हो गए हैं, उनमें तेल डालने के लिए तेली के घर पर भागा जाता है जल्दी-जल्दी बैलों को सानी-पानी दे दें ईदगाह से लौटते-लौटते दोपहर हो जायगी तीन कोस का पैदल रास्ता, फिर सैकड़ों आदमियों से मिलना-भेंटना, दोपहर के पहले लौटना असम्भव है लड़के सबसे ज्यादा प्रसन्न हैं किसी ने एक रोजा रखा है, वह भी दोपहर तक, किसी ने वह भी नहीं, लेकिन ईदगाह जाने की खुशी उनके हिस्से की चीज है रोजे बड़े-बूढ़ों के लिए होंगे इनके लिए तो ईद है रोज ईद का नाम रटते थे, आज वह आ गयी अब जल्दी पड़ी है कि लोग ईदगाह क्यों नहीं चलते इन्हें गृहस्थी की चिंताओं से क्या प्रयोजन सेवैयों के लिए दूध ओर शक्कर घर में है या नहीं, इनकी बला से, ये तो सेवेयाँ खायेंगे वह क्या जानें कि अब्बाजान क्यों बदहवास चौधरी कायमअली के घर दौड़े जा रहे हैं उन्हें क्या खबर कि चौधरी आँखें बदल लें, तो यह सारी ईद मुहर्रम हो जाय उनकी अपनी जेबों में तो कुबेर का धन भरा हुआ है बार-बार जेब से अपना खजाना निकालकर गिनते हैं और खुश होकर फिर रख लेते हैं महमूद गिनता है, एक-दो, दस,-बारह, उसके पास बारह पैसे हैं मोहसिन के पास एक, दो, तीन, आठ, नौ, पंद्रह पैसे हैं इन्हीं अनगिनती पैसों में अनगिनती चीजें लायेंगें- खिलौने, मिठाइयाँ, बिगुल, गेंद"
"और जाने क्या-क्या और सबसे ज्यादा प्रसन्न है हामिद वह चार-पाँच साल का गरीब- सूरत, दुबला-पतला लड़का, जिसका बाप गत वर्ष हैजे की भेंट हो गया और माँ न जाने क्यों पीली होती-होती एक दिन मर गयी किसी को पता क्या बीमारी है कहती तो कौन सुनने वाला था दिल पर जो कुछ बीतती थी, वह दिल में ही सहती थी ओर जब न सहा गया तो संसार से विदा हो गयी अब हामिद अपनी बूढ़ी दादी अमीना की गोद में सोता है और उतना ही प्रसन्न है उसके अब्बाजान रूपये कमाने गए हैं बहुत-सी थैलियाँ लेकर आयेंगे अम्मीजान अल्लाह मियाँ के घर से उसके लिए बड़ी अच्छी-अच्छी चीजें लाने गयी हैं, इसलिए हामिद प्रसन्न है आशा तो बड़ी चीज है, और फिर बच्चों की आशा उनकी कल्पना तो राई का पर्वत बना लेती है हामिद के पाँव में जूते नहीं हैं, सिर पर एक पुरानी-धुरानी टोपी है, जिसका गोटा काला पड़ गया है, फिर भी वह प्रसन्न है जब उसके अब्बाजान थैलियाँ और अम्मीजान नियामतें लेकर आयेंगी, तो वह दिल से अरमान निकाल लेगा तब देखेगा, मोहसिन, नूरे और सम्मी कहाँ से उतने पैसे निकालेंगे अभागिन अमीना अपनी कोठरी में बैठी रो रही है आज ईद का दिन, उसके घर में दाना नहीं आज आबिद होता, तो क्या इसी तरह ईद आती ओर चली जाती इस अंधकार और निराशा में वह डूबी जा रही है किसने बुलाया था इस निगोड़ी ईद को इस घर में उसका काम नहीं, लेकिन हामिद उसे किसी के मरने-जीने से क्या मतलब उसके अन्दर प्रकाश है, बाहर आशा विपत्ति अपना सारा दल-बल लेकर आये, हामिद की आनंद-भरी चितवन उसका विध्वंस कर देगी हामिद भीतर जाकर दादी से कहता है- तुम डरना नहीं अम्माँ, मैं सबसे पहले आऊँगा बिल्कुल न डरना अमीना का दिल कचोट रहा है गाँव के बच्चे अपने-अपने बाप के साथ जा"
"रहे हैं हामिद का बाप अमीना के सिवा और कौन है उसे कैसे अकेले मेले जाने दे उस भीड़-भाड़ से बच्चा कहीं खो जाय तो क्या हो नहीं, अमीना उसे यों न जाने देगी नन्ही-सी जान तीन कोस चलेगा कैसे पैर में छाले पड़ जायेंगे जूते भी तो नहीं हैं वह थोड़ी-थोड़ी दूर पर उसे गोद में ले लेती, लेकिन यहाँ सेवैयाँ कौन पकायेगा पैसे होते तो लौटते-लौटते सब सामग्री जमा करके चटपट बना लेती यहाँ तो घंटों चीजें जमा करते लगेंगे माँगे का ही तो भरोसा ठहरा उस दिन फहीमन के कपड़े सिले थे आठ आने पैसे मिले थे उस अठन्नी को ईमान की तरह बचाती चली आती थी इसी ईद के लिए लेकिन कल ग्वालन सिर पर सवार हो गयी तो क्या करती हामिद के लिए कुछ नहीं है, तो दो पैसे का दूध तो चाहिए ही अब तो कुल दो आने पैसे बच रहे हैं तीन पैसे हामिद की जेब में, पाँच अमीना के बटवे में यही तो बिसात है और ईद का त्यौहार, अल्लाह ही बेड़ा पार लगावे धोबन और नाइन ओर मेहतरानी और चुड़िहारिन सभी तो आयेंगी सभी को सेवैयाँ चाहिए और थोड़ा किसी को आँखों नहीं लगता किस-किस सें मुँह चुरायेगी और मुँह क्यों चुराये साल भर का त्यौहार है ज़िंदगी ख़ैरियत से रहे, उनकी तकदीर भी तो उसी के साथ है बच्चे को खुदा सलामत रखे, यें दिन भी कट जायँगे गाँव से मेला चला और बच्चों के साथ हामिद भी जा रहा था कभी सबके सब दौड़कर आगे निकल जाते फिर किसी पेड़ के नीचे खड़े होकर साथ वालों का इंतज़ार करते यह लोग क्यों इतना धीरे-धीरे चल रहे हैं हामिद के पैरो में तो जैसे पर लग गए हैं वह कभी थक सकता है शहर का दामन आ गया सड़क के दोनों ओर अमीरों के बगीचे हैं पक्की चारदीवारी बनी हुई"
"है पेड़ो में आम और लीचियाँ लगी हुई हैं कभी-कभी कोई लड़का कंकड़ी उठाकर आम पर निशान लगाता है माली अंदर से गाली देता हुआ निकलता है लड़के वहाँ से एक फर्लांग पर हैं खूब हँस रहे हैं माली को कैसा उल्लू बनाया है बड़ी-बड़ी इमारतें आने लगीं यह अदालत है, यह कालेज है, यह क्लब- घर है इतने बड़े कालेज में कितने लड़के पढ़ते होंगे सब लड़के नहीं हैं जी बड़े-बड़े आदमी हैं, सच उनकी बड़ी-बड़ी मूँछे हैं इतने बड़े हो गए, अभी तक पढ़ने जाते हैं न जाने कब तक पढ़ेंगे और क्या करेंगे इतना पढ़कर हामिद के मदरसे में दो-तीन बड़े-बड़े लड़के हैं, बिल्कुल तीन कौड़ी के रोज मार खाते हैं, काम से जी चुराने वाले इस जगह भी उसी तरह के लोग होंगे ओर क्या क्लब-घर में जादू होता है सुना है, यहाँ मुर्दो की खोपड़ियाँ दौड़ती हैं और बड़े-बड़े तमाशे होते हैं, पर किसी को अंदर नहीं जाने देते और वहाँ शाम को साहब लोग खेलते हैं बड़े-बड़े आदमी खेलते हैं, मूँछो दाढ़ी वाले और मेमें भी खेलती हैं, सच हमारी अम्माँ को यह दे दो, क्या नाम है, बैट, तो उसे पकड़ ही न सकें घुमाते ही लुढ़क जायँ महमूद ने कहा- हमारी अम्मीजान का तो हाथ काँपने लगे, अल्ला कसम मोहसिन बोला- चलो, मनों आटा पीस डालती हैं ज़रा-सा बैट पकड़ लेंगी, तो हाथ काँपने लगेंगे सैकड़ों घड़े पानी रोज निकालती हैं पाँच घड़े तो तेरी भैंस पी जाती है किसी मेम को एक घड़ा पानी भरना पड़े, तो आँखों तले अँधेरा आ जाय महमूद- लेकिन दौड़ती तो नहीं, उछल-कूद तो नहीं सकतीं मोहसिन- हाँ, उछल-कूद तो नहीं सकतीं, लेकिन उस दिन मेरी गाय खुल गयी थी और चौधरी के खेत में जा पड़ी थी, अम्माँ इतना तेज दौड़ीं कि मैं उन्हें न पा सका, सच आगे चले हलवाइयों की दुकानें शुरू हुईं"
"आज खूब सजी हुई थीं इतनी मिठाइयाँ कौन खाता है देखो न, एक-एक दूकान पर मनों होंगी सुना है, रात को जिन्नात आकर खरीद ले जाते हैं अब्बा कहते थे कि आधी रात को एक आदमी हर दुकान पर जाता है और जितना माल बचा होता है, वह तुलवा लेता है और सचमुच के रूपये देता है, बिल्कुल ऐसे ही रूपये हामिद को यकीन न आया- ऐसे रूपये जिन्नात को कहाँ से मिल जायेंगे मोहसिन ने कहा- जिन्नात को रूपये की क्या कमी जिस खजाने में चाहैं चले जायँ लोहे के दरवाजे तक उन्हें नहीं रोक सकते जनाब, आप हैं किस फेर में हीरे-जवाहरात तक उनके पास रहते हैं जिससे खुश हो गये, उसे टोकरों जवाहरात दे दिये अभी यहीं बैठे हैं, पाँच मिनट में कलकत्ता पहुँच जायँ हामिद ने फिर पूछा- जिन्नात बहुत बड़े-बड़े होते हैं मोहसिन- एक-एक सिर आसमान के बराबर होता है जी जमीन पर खड़ा हो जाय तो उसका सिर आसमान से जा लगे, मगर चाहे तो एक लोटे में घुस जाय हामिद- लोग उन्हें कैसे खुश करते होंगे कोई मुझे यह मंतर बता दे तो एक जिन्न को खुश कर लूँ मोहसिन- अब यह तो मै नहीं जानता, लेकिन चौधरी साहब के काबू में बहुत-से जिन्नात हैं कोई चीज चोरी जाय चौधरी साहब उसका पता लगा देंगे ओर चोर का नाम बता देंगे जुमराती का बछवा उस दिन खो गया था तीन दिन हैरान हुए, कहीं न मिला तब झख मारकर चौधरी के पास गये चौधरी ने तुरन्त बता दिया, मवेशीखाने में है और वहीं मिला जिन्नात आकर उन्हें सारे जहान की खबर दे जाते हैं अब उसकी समझ में आ गया कि चौधरी के पास क्यों इतना धन है और क्यों उनका इतना सम्मान है आगे चले यह पुलिस लाइन है यहीं सब कानिसटिबिल कवायद करते हैं रैटन फाय फो रात को बेचारे घूम-घूमकर"
"पहरा देते हैं, नहीं चोरियाँ हो जायँ मोहसिन ने प्रतिवाद किया-यह कानिसटिबिल पहरा देते हैं तभी तुम बहुत जानते हो अजी हजरत, यह चोरी करते हैं शहर के जितने चोर-डाकू हैं, सब इनसे मिले रहते हैं रात को ये लोग चोरों से तो कहते हैं, चोरी करो और आप दूसरे मुहल्ले में जाकर 'जागते रहो जागते रहो पुकारते हैं तभी इन लोगों के पास इतने रूपये आते हैं मेरे मामू एक थाने में कानिसटिबिल हैं बीस रूपया महीना पाते हैं, लेकिन पचास रूपये घर भेजते हैं अल्ला कसम मैंने एक बार पूछा था कि मामू, आप इतने रूपये कहाँ से पाते हैं हँसकर कहने लगे- बेटा, अल्लाह देता है फिर आप ही बोले-हम लोग चाहें तो एक दिन में लाखों मार लायें हम तो इतना ही लेते हैं, जिसमें अपनी बदनामी न हो और नौकरी न चली जाय हामिद ने पूछा- यह लोग चोरी करवाते हैं, तो कोई इन्हें पकड़ता नहीं मोहसिन उसकी नादानी पर दया दिखाकर बोला- अरे, पागल इन्हें कौन पकड़ेगा पकड़ने वाले तो यह लोग खुद हैं, लेकिन अल्लाह, इन्हें सजा भी खूब देता है हराम का माल हराम में जाता है थोड़े ही दिन हुए, मामू के घर में आग लग गयी सारी लेई-पूँजी जल गयी एक बरतन तक न बचा कई दिन पेड़ के नीचे सोये, अल्ला कसम, पेड़ के नीचे फिर न जाने कहाँ से एक सौ कर्ज लाये तो बरतन-भांडे आये हामिद-एक सौ तो पचास से ज्यादा होते हैं कहाँ पचास, कहाँ एक सौ पचास एक थैली-भर होता है सौ तो दो थैलियों में भी न आऍं अब बस्ती घनी होने लगी ईदगाह जानेवालों की टोलियाँ नजर आने लगी एक से एक भड़कीले वस्त्र पहने हुए कोई इक्के-ताँगे पर सवार, कोई मोटर पर, सभी इत्र में बसे, सभी के दिलों में उमंग ग्रामीणों का यह छोटा-सा दल अपनी विपन्नता से बेखबर, सन्तोष ओर"
"धैर्य में मगन चला जा रहा था बच्चों के लिए नगर की सभी चीजें अनोखी थीं जिस चीज की ओर ताकते, ताकते ही रह जाते और पीछे से बार-बार हार्न की आवाज होने पर भी न चेतते हामिद तो मोटर के नीचे जाते-जाते बचा सहसा ईदगाह नजर आयी ऊपर इमली के घने वृक्षों की छाया है नीचे पक्का फर्श है, जिस पर जाजम बिछा हुआ है और रोजेदारों की पंक्तियाँ एक के पीछे एक न जाने कहाँ तक चली गयी हैं, पक्की जगत के नीचे तक, जहाँ जाजम भी नहीं है नये आने वाले आकर पीछे की कतार में खड़े हो जाते हैं आगे जगह नहीं है यहाँ कोई धन और पद नहीं देखता इस्लाम की निगाह में सब बराबर हैं इन ग्रामीणों ने भी वजू किया ओर पिछली पंक्ति में खड़े हो गये कितना सुन्दर संचालन है, कितनी सुन्दर व्यवस्था लाखों सिर एक साथ सिजदे में झुक जाते हैं, फिर सबके सब एक साथ खड़े हो जाते हैं, एक साथ झुकते हैं, और एक साथ घुटनों के बल बैठ जाते हैं कई बार यही क्रिया होती है, जैसे बिजली की लाखों बत्तियाँ एक साथ प्रदीप्त हों और एक साथ बुझ जायँ, और यही क्रम चलता रहा कितना अपूर्व दृश्य था, जिसकी सामूहिक क्रियाएँ, विस्तार और अनंतता हृदय को श्रद्धा, गर्व और आत्मानंद से भर देती थीं, मानों भ्रातृत्व का एक सूत्र इन समस्त आत्माओं को एक लड़ी में पिरोये हुए है 2 नमाज खत्म हो गयी है लोग आपस में गले मिल रहे हैं तब मिठाई और खिलौने की दूकान पर धावा होता है ग्रामीणों का यह दल इस विषय में बालकों से कम उत्साही नहीं है यह देखो, हिंडोला है एक पैसा देकर चढ़ जाओ कभी आसमान पर जाते हुए मालूम होगें, कभी जमीन पर गिरते हुए यह चर्खी है, लकड़ी के हाथी, घोड़े, ऊँट, छड़ों में लटके"
"हुए हैं एक पैसा देकर बैठ जाओ और पच्चीस चक्करों का मजा लो महमूद और मोहसिन ओर नूरे ओर सम्मी इन घोड़ों ओर ऊँटों पर बैठते हैं हामिद दूर खड़ा है तीन ही पैसे तो उसके पास हैं अपने कोष का एक तिहाई जरा-सा चक्कर खाने के लिए नहीं दे सकता सब चर्खियों से उतरते हैं अब खिलौने लेंगे इधर दूकानों की कतार लगी हुई है तरह-तरह के खिलौने हैं-सिपाही और गुजरिया, राजा और वकील, भिश्ती और धोबिन और साधु वाह कितने सुन्दर खिलौने हैं अब बोला ही चाहते हैं महमूद सिपाही लेता है, खाकी वर्दी और लाल पगड़ीवाला, कंधे पर बंदूक रखे हुए, मालूम होता है, अभी कवायद किये चला आ रहा है मोहसिन को भिश्ती पसंद आया कमर झुकी हुई है, ऊपर मशक रखे हुए है मशक का मुँह एक हाथ से पकड़े हुए है कितना प्रसन्न है शायद कोई गीत गा रहा है बस, मशक से पानी उड़ेलना ही चाहता है नूरे को वकील से प्रेम है कैसी विद्वमता है उसके मुख पर काला चोगा, नीचे सफेद अचकन, अचकन के सामने की जेब में घड़ी, सुनहरी जंजीर, एक हाथ में कानून का पोथा लिये हुए मालूम होता है, अभी किसी अदालत से जिरह या बहस किये चले आ रहे हैं यह सब दो-दो पैसे के खिलौने हैं हामिद के पास कुल तीन पैसे हैं, इतने महँगे खिलौने वह कैसे ले खिलौना कहीं हाथ से छूट पड़े तो चूर-चूर हो जाय जरा पानी पड़े तो सारा रंग घुल जाय ऐसे खिलौने लेकर वह क्या करेगा मोहसिन कहता है- मेरा भिश्ती रोज पानी दे जायगा साँझ-सबेरे महमूद- और मेरा सिपाही घर का पहरा देगा कोई चोर आयेगा, तो फौरन बंदूक से फैर कर देगा नूरे- और मेरा वकील खूब मुकदमा लड़ेगा सम्मी- और मेरी धोबिन रोज कपड़े धोयेगी हामिद खिलौनों की निंदा करता है- मिट्टी ही के तो हैं,"
"गिरें तो चकनाचूर हो जायँ, लेकिन ललचाई हुई आँखों से खिलौनों को देख रहा है और चाहता है कि जरा देर के लिए उन्हें हाथ में ले सकता उसके हाथ अनायास ही लपकते हैं, लेकिन लड़के इतने त्यागी नहीं होते हैं, विशेषकर जब अभी नया शौक है हामिद ललचाता रह जाता है खिलौने के बाद मिठाइयाँ आती हैं किसी ने रेवड़ियाँ ली हैं, किसी ने गुलाबजामुन किसी ने सोहन हलवा मजे से खा रहे हैं हामिद बिरादरी से पृथक है अभागे के पास तीन पैसे हैं क्यों नहीं कुछ लेकर खाता ललचायी आँखों से सबकी ओर देखता है मोहसिन कहता है- हामिद रेवड़ी ले जा, कितनी खुशबूदार है हामिद को संदेह हुआ, ये केवल क्रूर विनोद है, मोहसिन इतना उदार नहीं है, लेकिन यह जानकर भी वह उसके पास जाता है मोहसिन दोने से एक रेवड़ी निकालकर हामिद की ओर बढ़ाता है हामिद हाथ फैलाता है मोहसिन रेवड़ी अपने मुँह में रख लेता है महमूद, नूरे और सम्मी खूब तालियाँ बजा-बजाकर हँसते हैं हामिद खिसिया जाता है मोहसिन- अच्छा, अबकी जरूर देंगे हामिद, अल्लाह कसम, ले जाव हामिद- रखे रहो क्या मेरे पास पैसे नहीं हैं सम्मी- तीन ही पैसे तो हैं तीन पैसे में क्या-क्या लोगे महमूद- हमसे गुलाबजामुन ले जाव हामिद मोहमिन बदमाश है हामिद- मिठाई कौन बड़ी नेमत है किताब में इसकी कितनी बुराइयाँ लिखी हैं मोहसिन- लेकिन दिल में कह रहे होंगे कि मिले तो खा लें अपने पैसे क्यों नहीं निकालते महमूद- हम समझते हैं, इसकी चालाकी जब हमारे सारे पैसे खर्च हो जायेंगे, तो हमें ललचा-ललचाकर खायगा मिठाइयों के बाद कुछ दूकानें लोहे की चीजों की, कुछ गिलट और कुछ नकली गहनों की लड़कों के लिए यहाँ कोई आकर्षण न था वे सब आगे बढ़ जाते हैं, हामिद लोहे की दुकान पर रूक जाता है कई चिमटे रखे हुए थे उसे खयाल आया, दादी"
"के पास चिमटा नहीं है तवे से रोटियाँ उतारती हैं, तो हाथ जल जाता है अगर वह चिमटा ले जाकर दादी को दे दे तो वह कितना प्रसन्न होंगी फिर उनकी उंगलियाँ कभी न जलेंगी घर में एक काम की चीज हो जायगी खिलौने से क्या फायदा व्यर्थ में पैसे खराब होते हैं जरा देर ही तो खुशी होती है फिर तो खिलौने को कोई आँख उठाकर नहीं देखता यह तो घर पहुँचते-पहुँचते टूट-फूट बराबर हो जायेंगे या छोटे बच्चे जो मेले में नहीं आये हैं जिद कर के ले लेंगे और तोड़ डालेंगे चिमटा कितने काम की चीज है रोटियाँ तवे से उतार लो, चूल्हें में सेंक लो कोई आग माँगने आये तो चटपट चूल्हे से आग निकालकर उसे दे दो अम्माँ बेचारी को कहाँ फुरसत है कि बाजार आयें और इतने पैसे ही कहाँ मिलते हैं रोज हाथ जला लेती हैं हामिद के साथी आगे बढ़ गये हैं सबील पर सब-के-सब शर्बत पी रहे हैं देखो, सब कितने लालची हैं इतनी मिठाइयाँ लीं, मुझे किसी ने एक भी न दी उस पर कहते है, मेरे साथ खेलो मेरा यह काम करो अब अगर किसी ने कोई काम करने को कहा, तो पूछूँगा खायें मिठाइयाँ, आप मुँह सड़ेगा, फोड़े-फुन्सियाँ निकलेंगी, आप ही जबान चटोरी हो जायगी तब घर से पैसे चुरायेंगे और मार खायेंगे किताब में झूठी बातें थोड़े ही लिखी हैं मेरी जबान क्यों खराब होगी अम्माँ चिमटा देखते ही दौड़कर मेरे हाथ से ले लेंगी और कहेंगी-मेरा बच्चा अम्माँ के लिए चिमटा लाया है कितना अच्छा लड़का है इन लोगों के खिलौने पर कौन इन्हें दुआयें देगा बड़ों की दुआयें सीधे अल्लाह के दरबार में पहुँचती हैं, और तुरंत सुनी जाती हैं मेरे पास पैसे नहीं हैं तभी तो मोहसिन और महमूद यों मिजाज दिखाते हैं मैं भी इनसे मिजाज दिखाऊँगा खेलें खिलौने और खायें मिठाइयाँ मै"
