content_300_words
"**शूटर की कहानी: बठिंडा की स्वर्ण तीरधारी** पंजाब की धरती, जहां नदियाँ गाँवों को जीवन देती हैं और रातें तारों से जगमगाती हैं, एक समय था जब एक छोटी सी लड़की, अवनीत, ने आकाश की ओर तीर छोड़ा। किंवदंतियों में कहा जाता है कि एक दिन एक पुराने महल के खंडहर में, उसे एक चमकीला धनुष मिला जो केवल उसी के हाथों में जीवंत हुआ। उसकी आत्मा में आग लग गई—लक्ष्य को स्पर्श करने की ललक। अवनीत की यात्रा आसान नहीं थी। गाँव के लोग कहते थे, ""लड़कियाँ तीर नहीं, फूल बीनती हैं।"" लेकिन वह रात-दिन अभ्यास करती रही, अपने धनुष को इतना ताकतवर बना दिया कि हवा भी उसके आगे झुक जाती। एक दिन, जब वह मेलबोर्न के मैदान में खड़ी थी, जहाँ पृथ्वी के कोने-कोने से शूरवीर आए थे, उसने एक साथी, तेजस्वनी के साथ मिलकर दुनिया को दिखाया कि महिलाओं के हाथ ना सिर्फ सृजन के होते हैं, बल्कि विजय के भी। उन्होंने स्वर्ण पदक जीता, जैसे कोई राक्षस को हराकर राज्य छीन लिया हो। लेकिन अवनीत की कहानी यहीं खत्म नहीं हुई। वह दोहा की रेतों में भी पहुँची, जहाँ एक कांस्य पदक ने उसके कर्म का सम्मान किया। कुवैत के आकाश ने भी उसकी तीर की गति देखी और बसंत के फूलों की तरह उसे कांस्य पुरस्कार दिया। फिर आया वह क्षण, जब वह बीजिंग के मैदान में खड़ी थी, जैसे कोई देवी अपनी महिमा से चमक रही हो। हालाँकि पदक नहीं मिला, लेकिन उसने अपने देश के लिए ओलंपिक कोटा जीता—एक ऐसा खजाना जो सिर्फ सच्चे हृदय वालों को मिलता है। समय बीता, और अवनीत के पास सौ से अधिक पदक जमा हो गए, जैसे समुद्री लहरें जो कभी नहीं थमतीं। लेकिन सबसे महत्वपूर्ण था वह दिन, जब राष्ट्रपति ने उसे अर्जुन पुरस्कार दिया—एक ऐसा सम्मान जो महाभारत के अर्जुन के समान था, जिसने"
"**पश्चिमी अफ्रीका की धरती पर एक सफर** सूरज की किरणें माली के मरुस्थल में धीरे-धीरे उग रही थीं। अन्वेषक रितिक ने अपनी पुरानी डायरी खोली, जिसमें उसके दादा ने एक रहस्यमयी नक्शा बनाया था। ""यहाँ कुछ छिपा है,"" दादा ने कहा था। रितिक की यात्रा यहाँ से शुरू हुई—पश्चिमी अफ्रीका की धरती पर, जहाँ इतिहास और भविष्य एक हैं। ### **कुंबी सालेह के खंडहर** माली के प्राचीन शहर कुंबी सालेह में, रितिक ने एक बुजुर्ग गाइड, अमादौ से मुलाकात की। ""यहाँ घाना साम्राज्य का दिल था,"" वह बोले, ""सोने की खदानों ने दुनिया को धन दिया, लेकिन लालच ने हमें तबाह किया।"" रितिक को गुफाओं में एक पुरानी सोने की सिक्का मिला—मनसा मूसा का चेहरा उभरा था, जिन्होंने 14वीं सदी में साम्राज्य को स्वर्णिम बनाया था। ### **गिनी की खाड़ी का रोना** कोको के बागानों में काम करती एक महिला, आइशा ने रितिक को बताया, ""हमारी मिट्टी ने यूरोप को चॉकलेट दिया, लेकिन हमें केवल जंजीरें।"" उसकी आँखों में आंसू थे। रितिक ने समझा—अटलांटिक दास व्यापार की कहानी, जिसने 12 मिलियन लोगों को अमेरिका ले जाकर इस भूमि को खाली कर दिया। ### **नाइजीरिया के जंगलों में प्राचीन ध्वनियाँ** लागोस के जंगलों में, एक वनस्पतिविज्ञानी, डॉ. ओमोतोयोसी ने रितिक को बताया, ""यहाँ पैंगोलिन और हाथी छिपे हैं, लेकिन काटे जा रहे हैं।"" रितिक ने अपनी डायरी में लिखा: ""जैव विविधता का अंत, जलवायु परिवर्तन का दंश।"" ### **सेनेगल की आज़ादी की गूंज** गोरे द्वीप पर, एक संग्रहालय में, रितिक ने 1958 के एक पत्र पर नजर डाली—अहमद सेकोउ टूरे का फ्रांस को लिखा था: ""हम गुलामी के बजाय मौत को चुनते हैं।"" बाहर, एक नौजवान राजनेता ने कहा, ""हमने आज़ादी पाई, लेकिन आंतरिक युद्धों ने हमें बांटा।"" ### **घाना के स्वर्ण तट पर आशा** अक्रा में, रितिक ने क्वामे नक्रूमा की प्रतिमा के पास एक बच्चे को पढ़ते सुना: ""हम"
"**एक सपना जो सूचकांक बन गया** महबूब उल हक के दिमाग में विचारों का तूफान चल रहा था। 1989 की एक रात, न्यूयॉर्क के एक छोटे से कमरे में, वह अपने टीम के साथ बैठे थे। कागजों के ढेर ने मेज को घेर रखा था, और चाय के कप ठंडे पड़ चुके थे। ""हमें दुनिया को बस आंकड़ों से नहीं, इंसानों की कहानियों से देखना चाहिए,"" उन्होंने कहा, अपने पाकिस्तानी लहजे में। उनके सामने बैठे अमर्त्य सेन मुस्कुराए। ""सही कहा आपने, महबूब। विकास तो इंसान की स्वतंत्रता में छिपा है। क्या वह स्वस्थ है, शिक्षित है, स्वतंत्र रूप से सोच सकता है?"" हक ने सहमति में सिर हिलाया। उन्हें याद आया उनका बचपन—कराची के एक गली में, जहां एक लड़का स्कूल जाने के बजाय रोजी कमाने बाजार भागता था। ""हमें ये सब कैसे मापेंगे?"" उन्होंने सोचा। फिर उनकी नजर तीन संकेतकों पर ठहरी: *जीवन प्रत्याशा, शिक्षा, आय*। तीनों मिलकर एक सूचकांक बनाएंगे, जो दुनिया को बताएगा कि कौन-सा देश सच्चा विकास कर रहा है। एक महीना बाद, टीम ने पहली *मानव विकास रिपोर्ट* तैयार की। हक ने संयुक्त राष्ट्र में पेश किया। एक अधिकारी ने पूछा, ""ये जीडीपी से क्या अलग है?"" हक ने जवाब दिया, ""जीडीपी तो एक मशीन का रफ्तार है। लेकिन हम इंसानों की बात कर रहे हैं—क्या वे स्वस्थ हैं, क्या उन्हें ज्ञान मिल रहा है, क्या वे अपनी जीवन शैली चुन सकते हैं?"" 1990 में, रिपोर्ट जारी हुई। दुनिया भर में चर्चा छिड़ गई। कहीं, एक गांव में, लता नाम की लड़की स्कूल जाने लगी। उसके पिता ने कहा, ""पहले हम तुम्हें खेतों में काम करने भेजते, लेकिन अब सरकार ने नि:शुल्क शिक्षा देनी शुरू कर दी।"" लता ने पढ़ाई की, और 20 साल बाद वह अपने गांव की मेयर बनी। दूसरी ओर, एक शहर में, राजेश नाम का व्यक्ति अस्पताल में बैठा था। उसकी"
"एक सुबह, आकाश के नीले थाल पर सूरज की किरणें सोने के धागे बुन रही थीं। मौसम विज्ञान केंद्र की छत पर, रवि ने एक टेबल पर रखे यंत्र को गौर से देखा। तीन छोटे प्याले, एक सीधी धुरी पर आड़ी भुजा से जुड़े, हल्की हवा में धीरे-धीरे घूम रहे थे। ""यह क्या है, डॉक्टर साहब?"" उसने पूछा। डॉक्टर शर्मा, सफेद बालों वाले एक वैज्ञानिक, मुस्कुराए। ""यह रॉबिन्सन कप ऐनिमॉमीटर है, रवि। पृथ्वी की हवा की रफ्तार मापने का जादूई यंत्र।"" वे पास गए और प्यालों को छूकर बोले, ""तीन या चार अर्धगोलाकार प्याले, स्टील की भुजा पर लगे हैं। हवा चलती है, तो ये प्याले घूमते हैं, जैसे नृत्य करते रहें।"" रवि ने गौर किया कि धुरी का निचला हिस्सा एक बॉक्स से जुड़ा था। ""और यह काला बॉक्स?"" ""गणित्र है,"" डॉक्टर शर्मा ने स्पष्ट किया। ""जैसे टैक्सीमीटर, यह प्यालों की चाल को मील या किलोमीटर में दिखाता है। लेकिन हवा का सच्चा वेग जानने के लिए, हम छह मिनट का अंतर लेते हैं। मान लो, छह मिनट में प्याले 3 किलोमीटर की चाल दिखाएं, तो वास्तविक वेग 30 किमी प्रति घंटा होगा। यह यंत्र लंबे समय का औसत देता है, तात्कालिक झोंकों को नहीं पकड़ पाता। जैसे किसी तूफान के झक्कड़ की तेजी, जो केवल कुछ सेकंड की होती है।"" रवि के माथे पर तिल दब गया। ""तो फिर पायलट्स को कैसे पता चलता है कि उड़ान भरने से पहले हवा कितनी तेज है?"" ""अच्छा सवाल!"" डॉक्टर ने एक दूरस्थ मीटर की ओर इशारा किया। ""यह दूर पठन पवनमापी है। यहां बाहर लगा है, लेकिन इसका रिकॉर्डर हमारे कमरे में। जैसे ही हवा चलती है, विद्युत संकेतों से डेटा आ जाता है। और अगर कोई सतत रिकॉर्ड चाहिए, तो हम डाइन दाबनली पवन-वेग-लेखक यंत्र का प्रयोग करते हैं।"" वे एक अन्य यंत्र के पास गए, जहां एक कलम"
"थोड़े समय पहले जब मैं छोटा था, तब गाँव में एक पुरानी कहानी सुनाई जाती थी। मेरी दादी रात के समय अँगने में बैठकर कहा करतीं कि गाय केवल एक पशु नहीं है, वह माँ के समान है। उसका दूध हमारे बचपन का स्वाद है, उसकी पूजा हमारे जीवन का एक हिस्सा। जब मैंने उनसे पूछा कि गाय क्यों पवित्र है, तो उन्होंने मुझे एक प्राचीन कथा सुनाई—जब एक राजा ने गाय को मारने की आज्ञा दी थी, तो पृथ्वी पर अकाल पड़ गया। बाद में राजा ने क्षमा माँगी तो गाय ने उसे क्षमा कर दिया और वर्षा हुई। मैंने तब यह महसूस किया कि कुछ पशु केवल मांस और हड्डियों से बने नहीं होते, वे हमारी कहानियों, हमारी आत्मा में भी रहते हैं। जब मैं बड़ा हुआ, तो मैंने अपने गुरुजी के पास एक दिन पशुपूजा के बारे में पूछा। उन्होंने मुझे मिस्र की कहानी सुनाई, जहाँ घड़ियाल को भगवान माना जाता था। वहाँ के लोग उसे चारा खिलाते थे ताकि वह उन्हें नुकसान न पहुँचाए। एक बार एक रोमी सैनिक ने बिल्ली को मार दिया था, तो मिस्र के शासक ने उसे मौत की सजा दे दी। मुझे यह सुनकर आश्चर्य हुआ कि कैसे कोई जानवर इतना पवित्र हो सकता है कि उसकी हत्या के लिए मौत की सजा हो। लेकिन गुरुजी ने समझाया कि कभी-कभी यह भय से होता है, कभी स्वार्थ से, और कभी-कभी वास्तविक श्रद्धा से। एक बार मैं अपने दादा के साथ जंगल में गया था। वहाँ हमें एक साँप का दर्शन हुआ। मेरे दादा ने तुरंत एक छोटा-सा मंदिर दिखाया, जहाँ साँप को दूध चढ़ाया जाता था। उन्होंने कहा कि यह साँप हमारे गाँव की रक्षा करता है। उसकी कृपा से हमें अनाज और पानी मिलता है। मैंने उस समय महसूस किया कि पशुओं की पूजा केवल धार्मिक नहीं है, बल्कि यह"
"**कांची के बाँस वन का रहस्य** एक समय था जब तिरुनेलवेली की भूमि पर केवल एक विशाल बाँस का वन था, जिसे स्थानीय लोग ""वेणुवन"" कहते थे। कहा जाता है कि इस वन में एक तांबे की नदी (थामिराबरणी) बहती थी, जिसके जल में शिव के नृत्य की ध्वनियाँ छिपी होती थीं। लेकिन एक दिन, पांड्य राजा निंदरेसर नेदुमारन ने एक सपना देखा—एक शिवलिंग, जो बाँस की जड़ों से उत्पन्न होकर आकाश तक पहुँच रहा था, और एक महिला की मूर्ति, जो उसके पास खड़ी थी, जैसे प्रकृति स्वयं भगवान की पूजा कर रही हो। सपने में आवाज आई, *""इस वन को हटाओ, और मेरा घर बनाओ। मैं तुम्हारी रक्षा करूँगा।""* राजा जागे और वन की ओर चल पड़े। लेकिन बाँस के पेड़ इतने मजबूत थे कि कुल्हाड़ियाँ टूट गईं, और आग भी बुझ गई। तब राजा ने उपवास कर शिव की प्रार्थना की। रात को, एक नृत्य करते नटराज ने उन्हें दिखाया कि वन के केंद्र में एक पत्थर पर अपना पैर रखने से वन स्वयं हट जाएगा। ऐसा ही हुआ। जैसे ही राजा ने पैर रखा, बाँस के पेड़ उखड़कर आकाश में उड़ गए, और वहाँ एक लिंगम और एक शक्ति मूर्ति (कांतिमथी) प्रकट हुईं। राजा ने वहीं मंदिर बनाया, लेकिन उनकी आँखों से एक चीज़ छिपी थी—दो मूर्तियाँ थीं, लेकिन दोनों में एक खाई थी। शिव ने सपने में समझाया, *""तुम मुझे और मेरी शक्ति को एक सोने के मंडप से जोड़ो, तभी मैं पूरा होऊँगा।""* सदियाँ बीत गईं, राजा मर गए, राज्य बदले, लेकिन हर राजा को वही सपना आता रहा। अंततः 1647 में, एक भक्त थिरु वडामलियप्पा पिल्लैयन ने ""चेन मंडपम"" बनाकर दोनों मूर्तियों को जोड़ा। उस रात, शिव ने अपने नृत्य से मंडप को जीवंत कर दिया, और वहाँ के स्तंभों से संगीत की ध्वनि निकलने लगी, जिसे आज भी ""मणि मंडप"" कहा जाता"
"**शब्दों की बल्लेबाजी: सूर्यप्रकाश चतुर्वेदी की कहानी** नवंबर की एक सुहानी सुबह, 1937 में इंदौर की सड़कों पर एक नया जीवन उमड़ पड़ा। सूर्यप्रकाश का जन्म हुआ, जैसे कोई खिलाड़ी नए मैदान में कदम रखे। बचपन से ही उनके कदम बल्ले और किताबों के बीच उछलते रहे। उनके पिता, एक साहित्यकार, ने उन्हें शब्दों की ताकत सिखाई, जबकि मां ने क्रिकेट के मैदान में उतारकर जीत का स्वाद चखाया। कॉलेज के दिनों में सूर्यप्रकाश की बल्लेबाजी ने इंदौर विश्वविद्यालय को नई पहचान दी। एक मध्यम क्रम के बल्लेबाज के रूप में वे अपनी छाप छोड़े, लेकिन दिल जिस खेल को लेकर धड़कता था, उसकी सीमाएं तो बस कॉलेज की दीवारों तक सिमटी नहीं रह सकती थीं। सालों बाद, जब वे गवर्नमेंट आर्ट्स एंड कॉमर्स कॉलेज में अंग्रेजी पढ़ा रहे थे, तब भी उनकी आत्मा क्रिकेट के मैदान में ही घूमती रही। एक दिन, जब वे आकाशवाणी पर क्रिकेट मैच की टिप्पणी कर रहे थे, तो उनके छात्र ने पूछा, ""सर, आपके शब्द तो मैदान में उतरकर खेलते हैं, लेकिन हिंदी में इसकी कहानी क्यों नहीं लिखी गई?"" यह सवाल उनके दिल में गूंजा। उसी क्षण उन्होंने फैसला किया कि वे क्रिकेट की अनकही कहानियों को हिंदी में साकार करेंगे। उनकी पहली किताब, विजय हजारे के स्मृति संस्मरणों का हिंदी अनुवाद, एक नई दुनिया का द्वार खोल गई। फिर एक के बाद एक, किताबें आती रहीं—सी के नायडू की जीवनी से लेकर भारतीय स्पिन गेंदबाजी की परंपरा तक। प्रत्येक पृष्ठ पर वे क्रिकेट के इतिहास को जिएंदा कर देते, मानो उनके शब्द बल्लेबाजों के स्ट्रोक बनकर उछलें। एक बार, जब वे ""हमारे कप्तान: नायडू से धोनी तक"" लिख रहे थे, तो उन्हें एक पुराने अखबार के कट में महाराजा श्री कृष्ण को बल्लेबाजी करते देखा। उन्होंने तुरंत अपने छात्र से कहा, ""देखो, यही तो क्रिकेट है—अतीत के साए में भविष्य की"
"**हिमालय की रानी: अदृश्य सुंदरी का रहस्य** समय: 3वीं शताब्दी ईसा पूर्व स्थान: कश्मीर की घाटी, जहां हिमालय की चोटियां आकाश को छू रही हैं। राजा बृहद्रथ ने अपने दरबार में एक आदेश जारी किया: ""हमारी भूमि की आत्मा को जानो! जो कोई भी हिम तेंदुए को देखे, उसके रहस्य को समझे, वही हमारा महामंत्री बनेगा।"" युवा प्राकृतिक विज्ञानी अर्जुन, जिसने पशुओं के अस्थि-शिल्पों का अध्ययन किया था, इस चुनौती से प्रेरित हुआ। उसने अपनी यात्रा कश्मीर की घाटी से शुरू की, जहां नीलगायों के झुंड ने उसे अपनी ओर आकर्षित किया। ""यह भूमि स्थानिक प्रजातियों से भरी है,"" स्थानीय गुर्जर चरवाहे ने कहा। ""पर हिम तेंदुआ? वह तो केवल उन चोटियों पर है जहां बर्फ कभी नहीं पिघलती।"" अर्जुन पश्चिमी घाट की ओर मुड़ा, जहां वर्षा वनों में बैंगनी मेंढक उछल रहे थे। एक बुजुर्ग वन्यजीव अनुसंधानकर्ता ने उसे एक कहानी सुनाई: ""प्राचीन काल में, जब भारत मेडागास्कर से जुड़ा था, तब के सांपों और छिपकलियों के अवशेष यहां मिलते हैं। हिम तेंदुआ भी एक ऐसा ही रहस्य है—जो हमारे भूगर्भीय इतिहास की कहानी सुनाता है।"" हिमालय की ओर बढ़ते हुए, अर्जुन ने काजीरंगा के मैदानों में एक सींग वाले गैंडों को देखा। एक वृद्ध बाघ शिकारी ने उसे चेतावनी दी: ""परियोजना बाघ के अनुसार, हर जानवर पारिस्थितिकी की एक कड़ी है। हिम तेंदुआ तो उस पारिस्थितिकी का राजा है।"" जब अर्जुन नेपाल की सीमा पर पहुंचा, तो उसे एक अद्भुत दृश्य दिखाई दिया—एक हिम तेंदुआ चट्टानों पर चुपचाप बैठा था, जैसे कोई श्वेत भूत। उसने देखा कि उसके पैरों के निशान बर्फ पर छाप छोड़ रहे थे, जो उसकी प्रजाति के अद्वितीय अस्तित्व को साबित करते थे। ""यह वही प्राणी है जिसकी खोज 19वीं शताब्दी में रिचर्ड लिडेकेकर ने नर्मदा घाटी में की थी,"" उसने अपने नोटबुक में लिखा। वापसी पर, अर्जुन ने राजा को सलाह दी: ""हिम"
"""अरे भई, क्या बात है? तुम्हारी गायों का दूध अब भी उतना नहीं है?"" ""हां भाई, तू तो जानता है हमारी नस्ल पुरानी है। लेकिन मैंने सुना है कि अब नए तरीके हैं जिनसे पशुओं की नस्ल सुधारी जा सकती है।"" ""हां, मैंने भी सुना है। पर ये सब कैसे होता है? मेरे खेत पर एक वैज्ञानिक आए थे, उन्होंने बताया था कि पशुओं को सुधारने के दो तरीके हैं—वातावरण सुधार और आनुवंशिकता में बदलाव। जैसे तू अपनी गायों को बेहतर चारा दे या ठंडी छाया दे, तो उनका दूध तुरंत बढ़ सकता है। पर अगर तू वो चारा बंद कर दे, तो दूध भी कम हो जाएगा।"" ""अरे, तो फिर स्थायी सुधार कैसे होगा?"" ""वो तो आनुवंशिकता में बदलाव से होगा। जैसे तू उन गायों को चुने जो ज्यादा दूध देती हैं और उन्हीं के बच्चों को पाले। धीरे-धीरे पूरी पीढ़ी में ये गुण बना रहेगा। पर ये काम तेज़ी से नहीं होता।"" ""लेकिन मुझे तो जल्दी चाहिए। मैंने तो कृत्रिम वीर्यसेचन के बारे में भी सुना है। क्या वो मदद कर सकता है?"" ""हां भई! वो तो चमत्कार है। मैंने अपने गायों में लगाया था। एक बार में एक सांड़ का वीर्य कई गायों को गर्भित कर सकता है। और सबसे बड़ी बात, तू अपने खेत पर सांड़ रखने की परेशानी से भी बच जाता है।"" ""पर इसका क्या तरीका है?"" ""सरल है। वैज्ञानिक नर के वीर्य को इकट्ठा करते हैं, उसे तनूकृत करके ठंडा कर देते हैं। फिर जब गाय को गर्भित करना होता है, तो उसके गर्भाशय में इसे डाल दिया जाता है। इससे नस्ल में सुधार होता है और बीमारियां भी कम लगती हैं।"" ""अच्छा, पर अगर मैं नस्ल सुधारना चाहूं, तो कौन-सा तरीका बेहतर है—समूह वरण या परिवार वरण?"" ""अगर तेरी गायों के गुण साफ दिखें, जैसे दूध की मात्रा, तो समूह वरण कर।"
"**बांजुल का अजब राज़** सूरज की पहली किरणों ने समुद्र की लहरों को सुनहरा रंग दे दिया था, जब आदित्य फ़रवे से उतरकर बांजुल की मिट्टी पर कदम रखा। उसके हाथ में पुरानी-सी नोटबुक थी, जिसमें उसने गाम्बिया के बारे में पढ़ी हर जानकारी लिख रखी थी। लेकिन अब वह सोच रहा था कि क्या किताबों में बंद शब्द वाकई इस शहर की जान बता सकते हैं? पहली बात तो यही थी कि बांजुल किसी द्वीप पर था। जैसे ही वह सड़क पार करके शहर की ओर बढ़ा, उसे एक विशालकाय आर्क दिखाई दिया। **आर्क २२**—उसके मार्गदर्शक, एक बुजुर्ग गाइड अमानुल्लाह ने स्पष्ट किया, ""यह १९९४ के शांतिपूर्ण सैन्य विद्रोह की याद दिलाता है। यहाँ से गुजरते समय ध्यान से देखिए—इसके बीच का छेद सूरज के साथ घूमता है, जैसे इतिहास की गति को नाप रहा हो।"" आदित्य ने आर्क के भीतर संग्रहालय में उस दिन के फोटो देखे—एक राष्ट्रपति का अपदस्थ होना, नए नेता का उदय, और एक शहर का भाग्य बदलना। अमानुल्लाह उसे गाम्बियाई राष्ट्रीय संग्रहालय ले गए। वहाँ आदित्य ने ९वीं शताब्दी के अरब व्यापारियों के नोट्स की प्रतिलिपियाँ देखीं। ""ये लोग गाम्बिया के सोने और हाथीदांत के लिए आए थे,"" अमानुल्लाह ने कहा। ""लेकिन उनके साथ वे लाए थे इस्लाम, जो आज भी यहाँ की मस्जिदों में गूंजता है।"" आदित्य ने अल्बर्ट बाज़ार में फूला भाषा में बात करते व्यापारियों को सुना, जबकि रास्ते में एक गिरिजाघर के सामने एक बोर्ड पर अंग्रेज़ी में लिखा था: *""यहाँ की आधिकारिक भाषा है, लेकिन हमारी आत्मा बहुभाषी है।""* दोपहर को वे गाम्बिया नदी के किनारे पहुँचे। अमानुल्लाह ने बताया, ""यहीं पर नदी अटलांटिक महासागर से मिलती है। पहले यह जगह **बाथर्स्ट** कहलाती थी, ब्रिटिश सचिव के नाम पर। लेकिन १९७३ में हमने अपना असली नाम *बांजुल* लौट लिया।"" आदित्य ने सोचा—कैसा होगा एक शहर जो अपना नाम बदलकर"
